day,name,start,end,summary,description
1,"Sjonnie & Het Talent",21:00,21:45,""
1,"Hi-Fi Spitfires (UK)",22:00,22:45,"Hi Fi Spitfires are a three piece punk rock band who formed in 2008. We play all of our own material. Described by one journalist as a band who would fit comfortably in a record collection between Give 'em enough rope by the Clash and SLF's Inflammable Material. We have probably played more gigs abroad than in UK. Steve Straughan vocals & guitar, Tony Taylor bass & vocals, Dean Ross drums & bv's. (hifispitfires.bandcamp.com)"
1,"Chaos 8 (UK)",23:00,23:45,"FORMED IN THE EARLY PART OF 2012 BY GUITARIST/SONGWRITER PAUL WILLIAMS AND SINGER/LYRICIST BEKI STRAUGHAN ON LEAD VOCALS, WHO WERE LATER JOINED BY MUSICAL ALLIES IN THE FORM OF BASSIST JAMES \"OZ\" BOWEY, COMPLETING THIS JUGGERNAUT OF A FOUR PIECE IS STEVEN NAISBET ON DRUMS/PERCUSSION. (chaos8.bandcamp.com)"
2,"Kelsey",20:00,20:45,"KELSEY is niet één persoon, maar een groep personen. Een collectief van vrienden met een gedeelde liefde voor harde, chaotische en tegendraadse muziek. Een band die zich muzikaal ergens op de grens tussen Metal, (Post-)Hardcore en Punk bevindt, en de muren hiertussen volledig afbreekt. (popronde.nl)"
2,"Curselifter",21:00,21:45,"Curselifter uit Utrecht speelt bijtende metallic hardcore. De teksten brengen seksueel geweld, machogedrag en machtsmisbruik onder de aandacht, terwijl de muziek inspireert tot stagediven en vechten met je vrienden. (popronde.nl)"
2,"Outahead",22:00,22:45,"Gewapend met stage antics waar Kurt Cobain 'u' tegen zou zeggen, verklaart Outahead de oorlog aan het verzadigde post-punk landschap. 'Soundtrack to a Car Crash'. (popronde.nl)"
2,"Park and Ride",23:00,23:45,"Park and Ride is een machine ontstaan op een zesde verdieping in Amsterdam. Met hun atmosferische blend van post-punk en hardcore nemen ze je mee in hun wereld, waar chaos en orde in harmonie samen leven. (popronde.nl)"
3,"Vierdaagse Yoga",16:00,20:30,"Rek- en strekoefeningen voor zowel de 4daagselopers als degenen die het avondprogramma doen. Vergeet niet je eigen mat mee te nemen."
3,"Politie Warnsveld",21:00,21:45,"Politie Warnsveld is niet voor de zwakhartigen. Geef jezelf de kans om door je as te klappen op onze ontembare energie. Met onze enge tunes en rake teksten pakken we je bij de hand op weg naar de wondere wereld van Pret-Ska! Zet je schrap, want het is een tsunami aan genot, een paardenmiddel waardoor je schuimbekkend het daglicht weer hoopt te zien. (popronde.nl)"
3,"Don't Wake Me",22:00,22:45,"Van intiem en doordringend, naar 'recht op je bakkes'. Met invloeden van o.a. Radiohead en Elbow, biedt Don't wake me een gelaagde en dynamische ervaring. Het trio bestaat sinds 2017. Alle leden van de band hebben een groot deel van hun muzikale ervaring opgedaan met andere instrumenten, bands en genres. (glurenbijdeburen.nl)"
3,"Spit",23:00,23:45,""
4,"DJ ANUBYS",17:00,20:30,"Kom de benen weer los dansen bij DJ ANUBYS (instagram.com/anubysbeats/)"
4,"Shitman",21:00,21:45,"Onze moshpit is een safe space. (instagram.com/shitman.band/"
4,"Trashvault",22:00,22:45,"Hardcore Improv band. (instagram.com/trashvaultnoise/"
4,"Portray",23:00,23:45,"PORTRAY, a dynamic and genre-bending band that delivers an unforgettable musical experience. Their music captivates audiences with crystal-clear melodies and an irresistible energy from the first note. Drawing inspiration from garage rock, punk, and psychedelic realms, PORTRAY's sound blazes with intensity and joy. Their music reflects personal struggles with identity and existence, while also giving a voice to the voiceless in navigating the difficulties of living in modern society. (checksonar.nl/portray)"
5,"Roze Wodka Woensdag",20:01,00:00,"De Roze Woensdag editie van de Wodka Woensdag"
5,"Trui",21:00,21:45,"TRUI de band, bestaande uit oud-klasgenoten en tindermatches, maakt feministische punk en catchy muziek met anderzijds maatschappijkritische noot. Met nummers over manspreading, de klimaatcrisis, cryptocurrency en slecht planten ouderschap omschrijft TRUI hun genre zelf het liefst als Hang Youth meets Kinderen voor Kinderen meets Folk Punk. (popronde.nl)"
5,"Designer Violence",22:00,22:45,"Wilde synthesizers, op hol geslagen drumcomputers en emotionele vocalen van twee vrouwen die in je gezicht schreeuwen. Vanuit een gedeelde passie voor alles wat gruizig, ruw en underground is, weet Designer Violence elke zaal weer te transformeren tot een zweterige nachtclub waar de zon niet opkomt en de subs net wat te hard staan. (popronde.nl)"
5,"Miss Conduct & The Homewreckers",23:00,23:45,"𝓒𝓾𝓽 𝓶𝔂 𝓵𝓲𝓯𝓮 𝓲𝓷𝓽𝓸 𝓹𝓲𝓮𝓬𝓮𝓼, 𝓽𝓱𝓲𝓼 𝓲𝓼 𝓶𝔂 𝓵𝓪𝓼𝓽 𝓻𝓮𝓼𝓸𝓻𝓽 💀🖤𝕊𝕃𝔸𝕐𝕄𝕆 🖤💀 (instagram.com/xx_miss_conduct_xx/)"
6,"DJ ANUBYS",17:00,20:30,"Kom de benen weer los dansen bij DJ ANUBYS (instagram.com/anubysbeats/)"
6,"Dood Vogeltje",21:00,21:45,"Je moeders favo sludgy punx. Martijn: drums, Hans: gitaar, Lourens: zang, bas. (doodvogeltje.bandcamp.com)"
6,"Statues On Fire (Brazil)",22:00,22:45,"Punk Rock from Santo André/SP, Brazil. (instagram.com/statuesonfire)"
